Artist,Title,Date
ANOHNI,HOPELESSNESS,"May 06, 2016"
Beverly,The Blue Swell,"May 06, 2016"
JMSN,It Is,"May 06, 2016"
Jean-Michel Jarre,Electronica 1: The Heart of Noise,"May 06, 2016"
LUH,Spiritual Songs for Lovers to Sing,"May 06, 2016"
Little Scream,Cult Following,"May 06, 2016"
Skepta,Konnichiwa,"May 06, 2016"
White Lung,Paradise,"May 06, 2016"
Astronautalis,Cut the Body Loose,"May 13, 2016"
David Bazan,Blanco,"May 13, 2016"
Eagulls,Ullages,"May 13, 2016"
Fruit Bats,Absolute Loser,"May 13, 2016"
Head Wound City,A New Wave of Violence,"May 13, 2016"
Islands,Should I Remain Here at Sea?,"May 13, 2016"
Islands,Taste,"May 13, 2016"
Jameszoo,Fool,"May 13, 2016"
Jessy Lanza,Oh No,"May 13, 2016"
Kvelertak,Nattesferd,"May 13, 2016"
Kygo,Cloud Nine,"May 13, 2016"
Mark Pritchard,Under the Sun,"May 13, 2016"
Modern Baseball,Holy Ghost,"May 13, 2016"
Nothing,Tired of Tomorrow,"May 13, 2016"
The So So Glos,Kamikaze,"May 13, 2016"
Twin Peaks,Down in Heaven,"May 13, 2016"
Wolf Parade,Untitled EP,"May 17, 2016"
Ariana Grande,Dangerous Woman,"May 20, 2016"
Black Pistol Fire,Dont Wake the Riot,"May 20, 2016"
Blake Shelton,If Im Honest,"May 20, 2016"
Bob Dylan,Fallen Angels,"May 20, 2016"
Car Seat Headrest,Teens of Denial,"May 20, 2016"
Eric Clapton,I Still Do,"May 20, 2016"
Marissa Nadler,Strangers,"May 20, 2016"
Mudcrutch,2,"May 20, 2016"
Mutual Benefit,Skip a Sinking Stone,"May 20, 2016"
Pantha du Prince,The Triad,"May 20, 2016"
Tim Heidecker,In Glendale,"May 20, 2016"
Various Artists,Day of the Dead,"May 20, 2016"
BRONCHO,Double Vanity,"May 27, 2016"
Band of Skulls,By Default,"May 27, 2016"
Flume,Skin,"May 27, 2016"
Gold Panda,Good Luck and Do Your Best,"May 27, 2016"
Holy Fuck,Congrats,"May 27, 2016"
Kristin Kontrol,X-Communicate,"May 27, 2016"
Mark Kozelek,Mark Kozelek Sings Favorites,"May 27, 2016"
Megafauna,Welcome Home,"May 27, 2016"
PUP,The Dream is Over,"May 27, 2016"
Sonny & the Sunsets,Moods Baby Moods,"May 27, 2016"
The Hotelier,Goodness,"May 27, 2016"
Thrice,To Be Everywhere Is To Be Nowhere,"May 27, 2016"
Yumi Zouma,Yoncalla,"May 27, 2016"
ARMS,Patterns,"June 03, 2016"
COUGH,Still They Pray,"June 03, 2016"
Casket Girls,The Night Machines,"June 03, 2016"
Cats Eyes,Treasure House,"June 03, 2016"
Dark Funeral,Where Shadows Forever Reign,"June 03, 2016"
Fantastic Negrito,The Last Days of Oakland,"June 03, 2016"
Fear of Men,Fall Forever,"June 03, 2016"
Ladyhawke,Wild Things,"June 03, 2016"
Melvins,Basses Loaded,"June 03, 2016"
Minor Victories,Minor Victories,"June 03, 2016"
Moonface and Siinai,My Best Human Face,"June 03, 2016"
Mourn,"Ha, Ha, He.","June 03, 2016"
Paul Simon,Stranger to Stranger,"June 03, 2016"
Steve Gunn,Eyes on the Lines,"June 03, 2016"
Tegan and Sara,Love You to Death,"June 03, 2016"
The Claypool Lennon Delirium,Monolith of Phobos,"June 03, 2016"
The Kills,Ash & Ice,"June 03, 2016"
The Lonely Island,Popstar: Never Stop Never Stopping Soundtrack,"June 03, 2016"
The Strokes,Future Present Past EP,"June 03, 2016"
Whitney,Light Upon The Lake,"June 03, 2016"
Air,Twentyears,"June 10, 2016"
Alexis Taylor,Piano,"June 10, 2016"
Clarke and Hartnoll,2Square,"June 10, 2016"
Diarrhea Planet,Turn to Gold,"June 10, 2016"
Fitz and the Tantrums,Fitz and the Tantrums,"June 10, 2016"
Garbage,Strange Little Birds,"June 10, 2016"
Jackie Lynn,Jackie Lynn,"June 10, 2016"
Leapling,Suspended Animation,"June 10, 2016"
Nick Jonas,Last Year Was Complicated,"June 10, 2016"
Nite Jewel,Liquid Cool,"June 10, 2016"
Peter Bjorn and John,Breakin Point,"June 10, 2016"
The Invisible,Patience,"June 10, 2016"
The Monkees,Good Times!,"June 10, 2016"
Yung,A Youthful Dream,"June 10, 2016"
Caveman,Otero War,"June 17, 2016"
Gojira,Magma,"June 17, 2016"
JAMBIANI,Hermitage,"June 17, 2016"
Laura Mvula,The Dreaming Room,"June 17, 2016"
"Laura Veirs, Neko Case, and k.d. lang",case/lang/veirs,"June 17, 2016"
Mitski,Puberty 2,"June 17, 2016"
Mumford & Sons,Johannesburg,"June 17, 2016"
Neil Young,EARTH,"June 17, 2016"
Red Hot Chili Peppers,The Getaway,"June 17, 2016"
Swans,The Glowing Man,"June 17, 2016"
Twin River,Passing Shade,"June 17, 2016"
Weaves,Weaves,"June 17, 2016"
YG,Still Brazy,"June 17, 2016"
Delorean,Muzik,"June 22, 2016"
Andy Hull and Robert McDowell,Swiss Army Man Soundtrack,"June 24, 2016"
Broods,Conscious,"June 24, 2016"
Cliff Martinez,The Neon Demon Soundtrack,"June 24, 2016"
DJ Shadow,The Mountain Will Fall,"June 24, 2016"
Deerhoof,The Magic,"June 24, 2016"
Hot Hot Heat,Hot Hot Heat,"June 24, 2016"
Lil Durk,2X,"June 24, 2016"
Rae Sremmurd,Sremmlife 2,"June 24, 2016"
River Tiber,Indigo,"June 24, 2016"
The Avett Brothers,True Sadness,"June 24, 2016"
The Felice Brothers,Life in the Dark,"June 24, 2016"
Pusha T,King Push,"June 30, 2016"
Bat for Lashes,The Bride,"July 01, 2016"
Blink-182,California,"July 01, 2016"
Blood Orange,Freetown Sound,"July 01, 2016"
GGGS,GGGS,"July 01, 2016"
Martha,Blisters In the Pit Of My Heart,"July 01, 2016"
Metronomy,Summer 08,"July 01, 2016"
BADBADNOTGOOD,IV,"July 08, 2016"
Frameworks,Smother,"July 08, 2016"
Roisin Murphy,Take Her Up To Monto,"July 08, 2016"
Shura,Nothings Real,"July 08, 2016"
Slow Season,Westing,"July 08, 2016"
The Avalanches,Wildflower,"July 08, 2016"
The Julie Ruin,Hit Reset,"July 08, 2016"
Wymond Miles,Call By Night,"July 08, 2016"
Clams Casino,32 Levels,"July 15, 2016"
Jeff Beck,Loud Hailer,"July 15, 2016"
Kel Valhaal,New Introductory Lectures on the System of Transcendental Qabala,"July 15, 2016"
No Joy,Drool Sucker,"July 15, 2016"
Conveyor,Ready Not Ready,"July 22, 2016"
MSTRKRFT,Operator,"July 22, 2016"
Numenorean,Home,"July 22, 2016"
The Amazing,Ambulance,"July 22, 2016"
Warren Haynes,Ashes and Dust,"July 24, 2016"
Ben Chatwin,Heat & Entropy,"July 29, 2016"
Descendents,Hypercaffium Spazzinate,"July 29, 2016"
Titus Andronicus,S+@dium Rock : Five Nights At The Opera,"July 29, 2016"
Cheena,Spend the Night With,"August 05, 2016"
Dinosaur Jr.,Give a Glimpse of What Yer Not,"August 05, 2016"
Field Mouse,Episodic,"August 05, 2016"
Health&Beauty,No Scare,"August 05, 2016"
Nels Cline,Lovers,"August 05, 2016"
Russian Circles,Guidance,"August 05, 2016"
Trevor Sensor,Starved Nights of Saturday Stars,"August 05, 2016"
Wild Beasts,Boy King,"August 05, 2016"
Atmosphere,Fishing Blues,"August 12, 2016"
Brendan Canning,Home Wrecking Years,"August 12, 2016"
Hockey Dad,Boronia,"August 12, 2016"
JEFF the Brotherhood,Zone,"August 12, 2016"
Katie Dey,Flood Network,"August 12, 2016"
Kyle Dixon & Michael Stein,Stranger Things (Volume 1),"August 12, 2016"
Of Montreal,Innocence Reaches,"August 12, 2016"
PartyNextDoor,P3,"August 12, 2016"
Pfarmers,Our Puram,"August 12, 2016"
